id,question_text,answer,skill,difficulty,question_type,choices
1,What is the absolute value of -15?,15,Absolute Value,easy,fill_in_one,
2,Which of the following is the absolute value of -7?,7,Absolute Value,easy,multiple_choice,7|−7|0|14
3,Solve for x: |x| = 9,x = 9 or x = -9,Absolute Value,medium,algebra,
4,Add: 234 + 567,801,Addition Whole Numbers,easy,fill_in_one,
5,Which sum is correct?,789,Addition Whole Numbers,easy,multiple_choice,789|798|879|987
6,Calculate: 1847 + 2956,4803,Addition Whole Numbers,medium,algebra,
7,Add the fractions: 2/5 + 1/5,3/5,Addition and Subtraction Fractions,easy,fill_in_one,
8,What is 3/4 + 1/8?,7/8,Addition and Subtraction Fractions,medium,multiple_choice,7/8|5/8|11/12|1
9,Simplify: 5/6 - 2/9 + 1/3,13/18,Addition and Subtraction Fractions,hard,algebra,
10,Calculate: 7 + (-3),4,Addition and Subtraction Integers,easy,fill_in_one,
11,Which is the result of -8 + 12?,4,Addition and Subtraction Integers,easy,multiple_choice,4|−4|20|−20
12,Solve: -15 + x = -7,x = 8,Addition and Subtraction Integers,medium,algebra,
13,Add: 3.4 + 2.7,6.1,Addition and Subtraction Positive Decimals,easy,fill_in_one,
14,What is 5.25 + 3.8?,9.05,Addition and Subtraction Positive Decimals,medium,multiple_choice,9.05|8.95|9.15|8.85
15,Calculate: 12.456 - 7.789,4.667,Addition and Subtraction Positive Decimals,hard,algebra,
16,Simplify: 3x + 2x,5x,Algebraic Simplification,easy,fill_in_one,
17,Which expression is equivalent to 4a + 2b + 3a?,7a + 2b,Algebraic Simplification,medium,multiple_choice,7a + 2b|4a + 5b|7a + 3b|6a + 2b
18,Simplify: 2(3x - 4) + 5x - 7,11x - 15,Algebraic Simplification,hard,algebra,
19,Solve for x: x + 5 = 12,x = 7,Algebraic Solving,easy,fill_in_one,
20,What value of y satisfies 2y = 18?,y = 9,Algebraic Solving,medium,multiple_choice,y = 9|y = 16|y = 10|y = 36
21,Solve: 3(x - 2) = 2x + 8,x = 14,Algebraic Solving,hard,algebra,
22,An acute angle measures less than ___ degrees,90,Angles - Acute,easy,fill_in_one,
23,Which angle is acute?,45°,Angles - Acute,easy,multiple_choice,45°|95°|90°|180°
24,If an acute angle is 3x degrees and x = 20 what is the angle?,60°,Angles - Acute,medium,algebra,
25,An obtuse angle measures more than 90 degrees but less than ___ degrees,180,Angles - Obtuse,easy,fill_in_one,
26,Which angle is obtuse?,120°,Angles - Obtuse,easy,multiple_choice,120°|80°|90°|30°
27,If angle ABC is obtuse and measures (2x + 30)° where x = 45 what is the measure?,120°,Angles - Obtuse,medium,algebra,
28,A right angle measures exactly ___ degrees,90,Angles - Right,easy,fill_in_one,
29,Which symbol represents a right angle?,∟,Angles - Right,easy,multiple_choice,∟|∠|○|△
30,Two right angles form a ___ angle,180°,Angles - Right,medium,algebra,
31,If two parallel lines are cut by a transversal corresponding angles are ___,equal,Angles on Parallel Lines Cut by a Transversal,medium,fill_in_one,
32,When parallel lines are cut by a transversal what is true about alternate interior angles?,They are equal,Angles on Parallel Lines Cut by a Transversal,medium,multiple_choice,They are equal|They are supplementary|They are complementary|They sum to 180°
33,Two parallel lines are cut by a transversal. If one angle is 65° find its corresponding angle,65°,Angles on Parallel Lines Cut by a Transversal,hard,algebra,
34,The area of a circle with radius 5 is ___π,25,Area Circle,easy,fill_in_one,
35,What is the area of a circle with diameter 8?,16π,Area Circle,medium,multiple_choice,16π|32π|8π|64π
36,Find the area of a circle with radius (x + 2) units,π(x + 2)²,Area Circle,hard,algebra,
37,Find the area of a rectangle with length 8 and width 5,40,Area Rectangle,easy,fill_in_one,
38,What is the area of a rectangle 12 by 7?,84,Area Rectangle,easy,multiple_choice,84|85|83|19
39,A rectangle has area 60 and width 4. Find the length,15,Area Rectangle,medium,algebra,
40,The area of a triangle with base 10 and height 6 is ___,30,Area Triangle,easy,fill_in_one,
41,What is the area of a triangle with base 8 and height 9?,36,Area Triangle,medium,multiple_choice,36|72|17|144
42,Find the area of a triangle with base (2x) and height (x + 3),x(2x + 6),Area Triangle,hard,algebra,
43,Find the area of a parallelogram with base 12 and height 7,84,Area Parallelogram,medium,fill_in_one,
44,What is the area of a parallelogram with base 15 and height 8?,120,Area Parallelogram,medium,multiple_choice,120|240|23|60
45,A parallelogram has area 96 and base 8. What is the height?,12,Area Parallelogram,hard,algebra,
46,The area of a trapezoid is ½(b₁ + b₂)h. Find the area when b₁ = 6 b₂ = 10 h = 4,32,Area Trapezoid,medium,fill_in_one,
47,What is the area of a trapezoid with parallel sides 12 and 8 and height 5?,50,Area Trapezoid,medium,multiple_choice,50|100|25|40
48,A trapezoid has area 60 parallel sides 8 and 12 and height h. Find h,6,Area Trapezoid,hard,algebra,
49,An irregular figure is divided into a rectangle (4×6) and triangle (base 4 height 3). Find total area,30,Area Irregular Figure,medium,fill_in_one,
50,What is the total area of a shape made of a rectangle (5×8) and semicircle (radius 2)?,40 + 2π,Area Irregular Figure,hard,multiple_choice,40 + 2π|42π|40π|38 + 2π
51,Find the area of an L-shaped figure with dimensions creating two rectangles: 8×5 and 3×4,52,Area Irregular Figure,hard,algebra,
52,A box plot shows the ___ ___ ___ ___ and ___,minimum quartile1 median quartile3 maximum,Box and Whisker,medium,fill_in_one,
53,In a box and whisker plot what does the box represent?,Interquartile range,Box and Whisker,medium,multiple_choice,Interquartile range|Full range|Mean|Mode
54,If Q1 = 20 Q3 = 40 what is the IQR?,20,Box and Whisker,hard,algebra,
55,Calculate: 15 + 8 × 2,31,Calculation with + - * /,easy,fill_in_one,
56,What is 20 - 12 ÷ 4?,17,Calculation with + - * /,medium,multiple_choice,17|2|8|32
57,Simplify: (6 + 4) × 3 - 8 ÷ 2,26,Calculation with + - * /,hard,algebra,
58,If two similar triangles have a ratio of 2:3 and the smaller has area 8 what is the larger triangle's area?,18,Calculations with Similar Figures,medium,fill_in_one,
59,Two similar rectangles have sides in ratio 1:4. If the smaller has perimeter 12 what is the larger's perimeter?,48,Calculations with Similar Figures,hard,multiple_choice,48|16|3|192
60,Similar figures have linear ratio 3:5. What is the ratio of their areas?,9:25,Calculations with Similar Figures,hard,algebra,
61,Choose the equation for: A number plus 7 equals 15,x + 7 = 15,Choose an Equation from Given Information,easy,fill_in_one,
62,Which equation represents: Three times a number minus 4 is 20?,3x - 4 = 20,Choose an Equation from Given Information,medium,multiple_choice,3x - 4 = 20|3x + 4 = 20|4x - 3 = 20|x - 12 = 20
63,Write an equation for: The sum of twice a number and 5 is three times the number minus 1,2x + 5 = 3x - 1,Choose an Equation from Given Information,hard,algebra,
64,In a circle graph what do all sectors add up to?,360°,Circle Graph,easy,fill_in_one,
65,If a sector in a circle graph is 90° what fraction of the circle is it?,1/4,Circle Graph,medium,multiple_choice,1/4|1/3|1/2|1/8
66,A circle graph shows 30% sports 45% music 25% art. What is the central angle for sports?,108°,Circle Graph,hard,algebra,
67,The circumference of a circle with radius 3 is ___π,6,Circumference,easy,fill_in_one,
68,What is the circumference of a circle with diameter 10?,10π,Circumference,medium,multiple_choice,10π|20π|5π|100π
69,Find the radius of a circle with circumference 24π,12,Circumference,hard,algebra,
70,In the expression 5x² the coefficient is ___,5,Coefficient,easy,fill_in_one,
71,What is the coefficient of y in 3x - 7y + 2?,−7,Coefficient,easy,multiple_choice,−7|7|3|2
72,Find the coefficient of x² in 2x³ - 4x² + x - 1,-4,Coefficient,medium,algebra,
73,How many ways can 3 books be arranged on a shelf?,6,Combinatorics,medium,fill_in_one,
74,In how many ways can you choose 2 items from 5?,10,Combinatorics,medium,multiple_choice,10|20|5|25
75,A committee of 4 people is chosen from 8. How many ways is this possible?,70,Combinatorics,hard,algebra,
